AFC,East,New England Patriots,NE
AFC,East,Miami Dolphins,MIA
AFC,East,Buffalo Bills,BUF
AFC,East,New York Jets,NYJ
NFC,East,Dallas Cowboys,DAL
NFC,East,Washington Redskins,WSH
NFC,East,Philadelphia Eagles,PHI
NFC,East,New York Giants,NYG
AFC,North,Pittsburgh Steelers,PIT
AFC,North,Baltimore Ravens,BAL
AFC,North,Cincinnati Bengals,CIN
AFC,North,Cleveland Browns,CLE
NFC,North,Chicago Bears,CHI
NFC,North,Minnesota Vikings,MIN
NFC,North,Green Bay Packers,GB
NFC,North,Detroit Lions,DET
AFC,South,Houston Texans,HOU
AFC,South,Indianapolis Colts,IND
AFC,South,Tennessee Titans,TEN
AFC,South,Jacksonville Jaguars,JAX
NFC,South,New Orleans Saints,NO
NFC,South,Carolina Panthers,CAR
NFC,South,Atlanta Falcons,ATL
NFC,South,Tampa Bay Buccaneers,TB
AFC,West,Kansas City Chiefs,KC
AFC,West,Los Angeles Chargers,LAC
AFC,West,Denver Brocos,DEN
AFC,West,Oakland Raiders,OAK
NFC,West,Los Angeles Rams,LAR
NFC,West,Seattle Seahawks,SEA
NFC,West,Arizona Cardinals,ARI
NFC,West,San Francisco 49ers,SF
